Language	GrammarLanguage	Grammar	Length
Afrikaans	Afrikaans	5140435	91.87376425855513
Afrikaans	Ancient	4903625	83.71787072243346
Afrikaans	Arabic	1377450	81.02509505703422
Afrikaans	Basque	5430429	86.12243346007604
Afrikaans	Belarusian	4306356	71.83269961977186
Afrikaans	Bulgarian	6102528	71.88441064638783
Afrikaans	Catalan	6550321	52.1361216730038
Afrikaans	Chinese	1105957	117.00304182509505
Afrikaans	Coptic	5155803	58.511026615969584
Afrikaans	Croatian	9238767	67.99239543726236
Afrikaans	Czech	499722	72.2212927756654
Afrikaans	Danish	5889850	71.90266159695817
Afrikaans	Dutch	7241557	117.1148288973384
Afrikaans	English	7520227	70.47832699619772
Afrikaans	Estonian	9750613	95.97034220532319
Afrikaans	Finnish	1742267	91.01825095057035
Afrikaans	French	9269015	52.62281368821293
Afrikaans	Galician	2284441	66.77414448669201
Afrikaans	German	6522123	108.21825095057034
Afrikaans	Gothic	1096327	68.80684410646388
Afrikaans	Greek	3473327	68.79391634980989
Afrikaans	Hebrew	9783889	52.203041825095056
Afrikaans	Hindi	1987011	105.2
Afrikaans	Hungarian	1920622	103.08517110266159
Afrikaans	Indonesian	3564332	54.08441064638783
Afrikaans	Irish	910807	73.9680608365019
Afrikaans	Italian	4411633	52.84866920152091
Afrikaans	Japanese	3679914	91.6425855513308
Afrikaans	Korean	8498532	98.0342205323194
Afrikaans	Latin	6801994	89.97262357414449
Afrikaans	Latvian	2818837	111.00684410646387
Afrikaans	Lithuanian	5342711	124.08517110266159
Afrikaans	Marathi	6734866	108.86615969581749
Afrikaans	Norwegian	5648267	70.47376425855514
Afrikaans	Old	8735902	66.28212927756654
Afrikaans	Persian	1219040	96.67452471482889
Afrikaans	Polish	1830518	67.67908745247148
Afrikaans	Portuguese	4176516	52.71026615969582
Afrikaans	Romanian	643506	52.893536121673
Afrikaans	Russian	1935936	67.68060836501901
Afrikaans	Serbian	294441	71.09961977186312
Afrikaans	Slovak	8058440	71.55665399239544
Afrikaans	Slovenian	7335440	69.32319391634981
Afrikaans	Spanish	4594419	52.46615969581749
Afrikaans	Swedish	8725567	70.82813688212927
Afrikaans	Tamil	5098545	90.60304182509506
Afrikaans	Telugu	7525511	101.8106463878327
Afrikaans	Turkish	5754928	96.05019011406844
Afrikaans	Ukrainian	1356979	70.57946768060836
Afrikaans	Urdu	5325281	107.5041825095057
Afrikaans	Vietnamese	1988915	63.745247148288975
Ancient	Afrikaans	5140435	34.78614846896132
Ancient	Ancient	4903625	35.825735126510146
Ancient	Arabic	1377450	39.34393283185168
Ancient	Basque	5430429	39.441531798495554
Ancient	Belarusian	4306356	30.18934731403389
Ancient	Bulgarian	6102528	26.583694248157435
Ancient	Catalan	6550321	26.751272699642886
Ancient	Chinese	1105957	36.75594559683915
Ancient	Coptic	5155803	28.78508472000608
Ancient	Croatian	9238767	26.951029557024544
Ancient	Czech	499722	26.480548590532635
Ancient	Danish	5889850	26.850049388344353
Ancient	Dutch	7241557	33.75404604513335
Ancient	English	7520227	26.980738545703215
Ancient	Estonian	9750613	31.13277866423524
Ancient	Finnish	1742267	30.467061773421474
Ancient	French	9269015	27.175252640376872
Ancient	Galician	2284441	32.75651546235088
Ancient	German	6522123	30.48575336220652
Ancient	Gothic	1096327	32.79017551857761
Ancient	Greek	3473327	27.383557480434618
Ancient	Hebrew	9783889	26.78930172479295
Ancient	Hindi	1987011	36.63733758832915
Ancient	Hungarian	1920622	34.04141022718638
Ancient	Indonesian	3564332	26.748537345186534
Ancient	Irish	910807	31.38063217080769
Ancient	Italian	4411633	28.740293290783374
Ancient	Japanese	3679914	32.92975457791961
Ancient	Korean	8498532	41.66324747359623
Ancient	Latin	6801994	35.494567282121416
Ancient	Latvian	2818837	31.012347086087683
Ancient	Lithuanian	5342711	31.33204163817339
Ancient	Marathi	6734866	36.854950231745306
Ancient	Norwegian	5648267	26.8139579059342
Ancient	Old	8735902	32.14854494339336
Ancient	Persian	1219040	39.26479750778816
Ancient	Polish	1830518	26.832573512651013
Ancient	Portuguese	4176516	26.596459235620394
Ancient	Romanian	643506	26.675860496922727
Ancient	Russian	1935936	26.290289491679964
Ancient	Serbian	294441	27.309892865283793
Ancient	Slovak	8058440	26.96747967479675
Ancient	Slovenian	7335440	27.34647823113745
Ancient	Spanish	4594419	26.9709368589013
Ancient	Swedish	8725567	26.772395714611353
Ancient	Tamil	5098545	35.199984803586354
Ancient	Telugu	7525511	36.015082440544035
Ancient	Turkish	5754928	34.403502773345494
Ancient	Ukrainian	1356979	26.833979180913303
Ancient	Urdu	5325281	38.56701618418053
Ancient	Vietnamese	1988915	30.660550110174
Arabic	Afrikaans	5140435	164.7952799121844
Arabic	Ancient	4903625	158.3020032930845
Arabic	Arabic	1377450	145.33676362971093
Arabic	Basque	5430429	161.82258507135018
Arabic	Belarusian	4306356	106.21386754482253
Arabic	Bulgarian	6102528	112.86612696670326
Arabic	Catalan	6550321	101.2651390413465
Arabic	Chinese	1105957	183.41373948042445
Arabic	Coptic	5155803	105.88433040614709
Arabic	Croatian	9238767	102.09412733260153
Arabic	Czech	499722	103.41982253933406
Arabic	Danish	5889850	103.99899377972923
Arabic	Dutch	7241557	133.9517014270033
Arabic	English	7520227	103.09083424807903
Arabic	Estonian	9750613	148.49227039882913
Arabic	Finnish	1742267	148.28361690450055
Arabic	French	9269015	99.00809549945116
Arabic	Galician	2284441	146.65980607391145
Arabic	German	6522123	109.22264910354922
Arabic	Gothic	1096327	151.4674807903403
Arabic	Greek	3473327	103.3948499817051
Arabic	Hebrew	9783889	99.53663556531285
Arabic	Hindi	1987011	173.4435601902671
Arabic	Hungarian	1920622	167.92096597145994
Arabic	Indonesian	3564332	102.42178924259056
Arabic	Irish	910807	99.13574826198317
Arabic	Italian	4411633	102.55621112330772
Arabic	Japanese	3679914	148.43166849615807
Arabic	Korean	8498532	177.42650018294913
Arabic	Latin	6801994	136.2998536406879
Arabic	Latvian	2818837	173.7551225759239
Arabic	Lithuanian	5342711	173.20504024881083
Arabic	Marathi	6734866	172.48069886571534
Arabic	Norwegian	5648267	103.05063117453348
Arabic	Old	8735902	145.34623124771315
Arabic	Persian	1219040	143.6429290157336
Arabic	Polish	1830518	105.261845956824
Arabic	Portuguese	4176516	101.18701975850713
Arabic	Romanian	643506	108.89727405781193
Arabic	Russian	1935936	102.13876692279547
Arabic	Serbian	294441	103.99515184778632
Arabic	Slovak	8058440	104.78270215879985
Arabic	Slovenian	7335440	103.43409257226492
Arabic	Spanish	4594419	100.39517014270032
Arabic	Swedish	8725567	103.40354006586169
Arabic	Tamil	5098545	143.91437980241494
Arabic	Telugu	7525511	157.72809184046835
Arabic	Turkish	5754928	161.2918496158068
Arabic	Ukrainian	1356979	103.32976582510062
Arabic	Urdu	5325281	173.1149835345774
Arabic	Vietnamese	1988915	130.95522319795097
Basque	Afrikaans	5140435	26.633617494440326
Basque	Ancient	4903625	27.094514455151966
Basque	Arabic	1377450	25.72627872498147
Basque	Basque	5430429	24.697739065974798
Basque	Belarusian	4306356	22.984062268346925
Basque	Bulgarian	6102528	21.99759080800593
Basque	Catalan	6550321	21.298925129725724
Basque	Chinese	1105957	25.012416604892515
Basque	Coptic	5155803	22.334692364714602
Basque	Croatian	9238767	21.365085248332097
Basque	Czech	499722	21.803372868791698
Basque	Danish	5889850	21.889362490733877
